content,label
"Love So Pure

its sweet like the nectar
of the garden flower,
its soothing like the buzzing
of a bumble bee,
its warm like the rays
of the morning sun,
its the search of a love so pure 
which keeps me on the run.

its the pulse in my vein,
the thoughts in my brain,
in every breath that I take,
the smile my lips make,
its in the twinkle of my eye,
till the day I die.

its the dream in my sleep,
its springs freshest leaf;
a love so rare like this 
will always be with me for keeps.

its the warmth of my blood,
as my feelings flood,
as says my heart's beat,
its depth touches the ocean's feet.

even if its heart searing pain,
with nothing to gain,
I will feel it as the tear on my cheek,
and without words my soul will speak.

a feeling so sincere,
a bond so strong,
I know my soul will never guide me wrong.

I will wait till my last sunset,
till my heart slows down with a dull ache,
till my eyes are wet,
till I meet my soul's mate,
yes, I will wait.


",1
"Inheritance

Helplessly, silent;
we watched it being seized away, all our lands.
The Government—a fulltime bewitching whore
had promised Jobs. Industrialization. Power, Electric.
Everything went, Nothing came.

Now, landless, uprooted,
unsettled in a resettlement colony
we feast our souls on lucent memories—Of an earlier life.

When memory charts
familiar horizons
I often recollect that
long ago rainy Sunday
in our crowded church,
Fr. Jose reading crisply
“Blessed are the meek
for they shall inherit the earth.”


",0
"Do good my brother
And good will follow you
I know
I know
Hey

I will always do the good I can, war and hatred I can't
Stand
And I hope you feel the same way too
The goodness of your works will carry you through
Do good onto others and Jah will do the same for you
Give it a try, my friend, and you will prove what I'm saying is
True

Love is the answer
There ain't no other
Oh oh, love is the answer
True love of the Father
If your neighbour come begging you something
Don't say, ""Go, and come tomorrow"", give it now, while you can
And I know I know Jah will bless you
Oh oh, love is the answer
There ain't no other

We must exercise our love by forgiving and helping
We should teach others what they need to learn forgive
Them even when our heart burns
Love I am feeling
Love: lifes' true meaning
Love I am feeling
Oh yeah

Love is the answer
There ain't no other
Oh oh, love is the answer
True love of the Father
Love is the answer
There ain't no other
Oh oh, love is the answer
True love of the Father

Love, how are you feeling?
Love: lifes' true meaning
Love: lifes' true meaning
Oh

I will always do the good I can, war and hatred I can't stand
And I hope you feel the same way with you
The goodness of your works will carry you through
Do good onto others and Jah will do the same for you
Do!
Give it a try, my friend, and you will prove what I'm saying is
True

Love is the answer
There ain't no other
Oh oh, love is the answer
True love of the father
Love is the answer
Love
Love is the answer
Jah Love!
Love is the answer
Got to believe me
Ooh ooh ooh
Love is the answer
Jah Love
Love is the answer
Oh yeah yeah yeah
Love is the answer
True love yeah, let Jah love, my friend, yeah",1
"Lord Almighty
I feel my temperature rising
Higher higher
It's burning through to my soul
Girl, girl, girl, girl
You're gonna set me on fire
My brain is flaming
I don't know which way to go

Your kisses lift me higher
Like a sweet song of a choir
You light my morning sky
With burning love

Ooh, ooh, ooh
I feel my temperature rising
Help me, I'm flaming
I must be a hundred and nine
Burning, burning, burning
And nothing can cool me
I just might turn into smoke
But I feel fine

'Cause your kisses lift me higher
Like a sweet song of a choir
And you light my morning sky
With burning love

It's coming closer
The flames are now licking my body
Won't you help me
I feel like I'm slipping away
It's hard to breathe
And my chest is a-heaving
Lord, have mercy
I'm burning a hole where I lay

Your kisses lift me higher
Like the sweet song of a choir
You light my morning sky
With burning love
With burning love
(Ah, ah, burning love)

I'm just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love",1
"Clap for a nigga with his rapping ass
Blow a stack for your niggas with your trapping ass
Clap for a nigga with his rapping ass
Blow a stack for your niggas with your trapping ass

Tom Ford
Tom Ford
Tom Ford

Coming up, coming down
Riding clean fix your hair in my Crown
Bad bitch, H town
Keep it trill, y'all know y'all can't fuck around

Paris where we been, pard' my Parisian
It's Hov time in no time, it's fuck-all-y'all season
Piss Bordeaux and Burgundies, flush out a Riesling
When Hov's out, them hoes out, y'all put y'all weaves in, and
Clap for a nigga with his rapping ass
Blow a stack for your niggas with your trapping ass
Spent all my euros on tuxes and weird clothes
I party with weirdos, yeah Hov, yeah Hov

I don't pop molly, I rock Tom Ford
International bring back the Concorde
Numbers don't lie, check the scoreboard
Tom Ford
Tom Ford
Tom Ford

Hands down got the best flow, sound I'm so special
Sound boy burial, this my Wayne Perry flow
Y'all know nothing 'bout Wayne Perry though
District of Columbia, guns on y'all Tumblrs
Fuck hashtags and retweets, nigga
140 characters in these streets, nigga
Pardon my laughing, y'all only flagging on beats, nigga
Pardon my laughing, I happen to think you sweet

I don't pop molly, I rock Tom Ford
International bring back the Concorde
Numbers don't lie, check the scoreboard
Tom Ford
Tom Ford
Tom Ford

Oh, man, so throwed

Coming up, coming down
Riding clean fix your hair in my Crown
Bad bitch, H town
Keep it trill, y'all know y'all can't fuck around

Hold up
I don't pop molly, I rock Tom Ford",1
"Who' s child am I gonna be tonight?
Who' s bed am I gonna sleep in tonight?
You told the other ones
I was your brother's child
You told the ones
I was your sister's child
Everytime they come to the house
I got to change my name
Everytime they come to the house
I got to change my identity
Whose child am I gonna be tonight?
As he walked away with tears in his eyes
I felt every pain that he felt
I cried every tear that he cried
Mama why?......
Chorus:
I wish you could love me the way I am
Whose dogs are gonna be my friends tonight?
Whose bin am I gonna eat out of tonight?
The welfare people when they come
To the house you told me to say nothing
Every time they wanna take me away
You say everything is alright
Whos bins am I gonna eat out of tonight?
As he walked away with tears in his eyes
I felt every pain that he felt
I cried every tear that he cried
Mama why?.......
Chorus:
I wish you could love me the way I am",0
"Oh yeah

Now Ziggy played guitar
Jamming good with Weird and Gilly
And The Spiders from Mars
He played it left hand
But made it too far
Became the special man
Then we were Ziggy's Band

Ziggy really sang
Screwed up eyes and screwed down hairdo
Like some cat from Japan
He could lick 'em by smiling
He could leave 'em to hang
He came on so loaded, man,
Well hung, snow white tan

So where were the spiders
While the fly tried to break our balls?
Just the beer light to guide us
So we bitched about his fans
And should we crush his sweet hands?
Oh yeah

Ziggy played for time
Jiving us that we were Voodoo
The kids was just crass
He was the naz
With God-given ass
He took it all too far
But boy, could he play guitar

Making love with his ego
Ziggy sucked up into his mind (ah)
Like a leper messiah
When the kids had killed a man
I had to break up the band

Oh yeah
Ooh

Ziggy played guitar",1
"Hey Em, you know you're my favorite white boy, right?
I owe you for this one

I been patiently waitin' for a track to explode on (Yeah!)
You can stunt if you want and yo' ass'll get rolled on (It's 50!)
If it feels like my flow's been hot for so long (Yeah!)
If you thinkin' I'ma fuckin' fall off, you're so wrong (It's 50!)

I'm innocent in my head, like a baby born dead
Destination heaven
Sit and politic with passengers from 9/11
The Lord's blessings leave me lyrically inclined
Shit, I ain't even got to try to shine
God's the seamstress that tailor-fitted my pain
I got scriptures in my brain, I could spit at your dame
Straight out the good book, look, niggas is shook
50 fear no man, warrior, swing swords like Conan
Picture me, pen in hand, writin' lines
Knowin' The Source will quote it
When I die, they'll read this and say a genius wrote it
I grew up without my pops, should that make me bitter?
I caught cases, I copped out, does that make me a quitter?
In this white man's world I'm similar to a squirrel
Lookin' for a slut with a nice butt to get a nut
If I get shot today my phone'll stop ringin' again
These industry niggas ain't friends
They know how to pretend

I been patiently waitin' for a track to explode on (Yeah!)
You can stunt if you want and yo' ass'll get rolled on (It's 50!)
If it feels like my flow's been hot for so long (Yeah!)
If you thinkin' I'ma fuckin' fall off, you're so wrong (It's 50!)
I been patiently waitin' for a track to explode on (Yeah!)
You can stunt if you want and yo' ass'll get rolled on (It's 50!)
If it feels like my flow's been hot for so long (Yeah!)
If you thinkin' I'ma fuckin' fall off, you're so wrong (It's 50!)

If you're patiently waitin' to make it through all the hatin'
Debatin' whether or not you can even weather the storm
As you lay on the table, they operatin' to save you
It's like an angel came to you, sent from the heavens above

They think they're crazy, but they ain't crazy
Let's face it, shit, basically
They're just playin' sick, they ain't shit
They ain't sayin' shit — spray 'em, 50!
A to the K, get in the way I'll bring Dre and them with me
And turn this day into fuckin' mayhem, you stayin' with me?
Don't let me lose you, I'm not tryna confuse you
When I let loose with this Uzi
And just shoot through your Isuzu
You get the message? Am I gettin' through to you?
You know what's comin'?
You motherfuckers don't even know, do you?
Take some Big and some Pac and you mix 'em up in a pot
Sprinkle a little Big L on top, what the fuck do you got?
You got the realest and illest killers tied up in a knot
The juggernauts of this rap shit, like it or not
It's like a fight to the top just to see who'd die for the spot
You put your life in this, nothin' like survivin' a shot
Y'all know what time it is, soon as 50 signs on this dot
Shit, what you know about death threats, 'cause I get a lot
Shady Records was eighty seconds away from the towers
Some cowards fucked with the wrong building
They meant to hit ours
Better evacuate all children, it's nuclear showers
There's nothin' spookier
You now about to witness the power of fuckin' 50

I been patiently waitin' for a track to explode on (Yeah!)
You can stunt if you want and yo' ass'll get rolled on (It's 50!)
If it feels like my flow's been hot for so long (Yeah!)
If you thinkin' I'ma fuckin' fall off, you're so wrong (It's 50!)
If the gun squad hearin' all the shots go off
It's 50, they say it's 50
See a nigga laid out with his fuckin' top blown off
It's 50 — man, that wasn't 50, don't holla my name

Niggas shouldn't throw stones if you live in a glass house
And if you got a glass jaw you should watch your mouth
'Cause I'll break your face
Have your ass runnin', mumblin' to the jake
You goin' against me, dawg, you makin' a mistake, I'll split ya
Leave you lookin' like the Michael Jackson jackets
With all them zippers
I'm the boss on this boat, you can call me skipper
The way I turn the money over, you should call me flipper
Your bitch a regular bitch, you callin' her wifey
I fucked and feed her fast food, you keepin' her icey
I'm down to sell records but not my soul
Snoop said this in '94: ""We don't love them hoes.""
I got pennies for my thoughts, now I'm rich
See the twenties spinnin' lookin' mean on the six
Niggas wearin' flags 'cause the colors match they clothes
They get caught in the wrong hood
And filled up with holes, motherfucker

I been patiently waitin' for a track to explode on (Yeah!)
You can stunt if you want and yo' ass'll get rolled on (It's 50!)
If it feels like my flow's been hot for so long (Yeah!)
If you thinkin' I'ma fuckin' fall off, you're so wrong (It's 50!)
I been patiently waitin' for a track to explode on (Yeah!)
You can stunt if you want and yo' ass'll get rolled on (It's 50!)
If it feels like my flow's been hot for so long (Yeah!)
If you thinkin' I'ma fuckin' fall off, you're so wrong (It's 50!)",0
"When and Why 

When I bring you coloured toys, my child, I understand why there
is such a play of colours on clouds, on water, and why flowers are
painted in tints-when I give coloured toys to you, my child.
When I sing to make you dance, I truly know why there is music
in leaves, and why waves send their chorus of voices to the heart
of the listening earth-when I sing to make you dance.
When I bring sweet things to your greedy hands, I know why
there is honey in the cup of the flower, and why fruits are
secretly filled with sweet juice-when I bring sweet things to your
greedy hands.
When I kiss your face to make you smile, my darling, I surely
understand what pleasure streams from the sky in morning light, and
what delight the summer breeze brings to my body-when I kiss you
to make you smile.",1
"Lord Of My Life
Thou who art the innermost Spirit of my being,
art thou pleased, Lord of my Life?
For I give to thee my cup filled with all
the pain and delight that the crushed
grapes of my heart had surrendered,
I wove with rhythm of colors and song cover for thy bed,
And with the molten gold of my desires
I fashioned playthings for thy passing hours.
I know not why thou chosest me for thy partner,
Lord of my life.

Didst thou store my days and nights,
my deeds and dreams for the alchemy of thy art,
and string in the chain of thy music my songs of autumn and spring,
and gather the flowers from my mature moments for thy crown?

I see thine eyes gazing at the dark of my heart,
Lord of my life,
I wonder if my failure and wrongs are forgiven.
For many were my days without service
and nights of forgetfulness; futile were the flowers
that faded in the shade not offered to thee.

Often the tied strings of my lute slackened
at the strains of thy tunes.
And often at the ruin of wasted hours
my desolate evenings were filled with tears.

But have my days come to their end at last,
Lord of my life, while my arms round thee
grow limp, my kisses losing their truth?
Then break up the meeting of this languid day!
Renew the old in me in fresh forms of delight;
and let the wedding come once again in
a new ceremony of life.
",0
